,PACSY_PDB,PCASY_BMRB
188,2KGD,16202
189,2N1D,25556
190,2K5L,15841
191,2D8I,11215
192,2ECV,11163
193,2MME,18651
194,2L8B,16971
195,2N7G,25805
196,1WGL,11259
197,2KJK,16325
198,2MGV,19605
199,2L7P,17365
200,2RUC,11559
201,2MJZ,19747
202,2LMN,18127
203,2MME,18651
204,2KL3,16382
205,2K9S,16001
206,1WIM,11307
207,2DKT,11333
208,2LBO,16233
209,2N7B,25799
210,2LFG,17752
211,2KIG,16273
212,2M3K,18966
213,2MZ1,25469
214,2YT0,10238
215,2LRC,18130
216,2M2E,18909
217,2M14,18842
218,1X3A,11286
219,2LST,18443
220,2LUD,18517
221,2LUQ,18535
222,2MSK,25124
223,2KJ9,16316
224,2L2Q,17150
225,2K9N,15989
226,1X5B,10264
227,2N7H,25334
228,2N2T,25611
229,1X4I,11353
230,2CSY,11313
231,2KED,16143
232,2M8L,19261
233,5HUZ,30005
234,2LMN,18127
235,2N1V,25576
236,2LCZ,17639
237,2KGC,16201
238,2LTR,17703
239,2MME,18651
240,2N0U,25536
241,2JOY,15210
242,2KPP,16563
243,2MI2,19618
244,2L00,17024
245,2K0Z,15661
246,2M0R,18818
247,2EE5,10145
248,2EKI,10273
249,2N5H,25716
250,2L3N,17199
251,2DJ4,10323
252,2DB9,11330
253,2M9K,19298
254,2L9J,17451
255,2N72,25790
256,2LZ1,18735
257,2KHQ,16251
258,2MTI,19282
259,2LJT,17958
260,2N7Q,25817
261,2MEX,18276
262,2RPJ,11346
263,2M71,19168
264,2YRJ,11239
265,2KB1,15677
266,2DZI,11279
267,2LLV,18090
268,2LNA,18156
269,1TIZ,6209
270,2D7N,10329
271,2MET,19531
272,2MM3,19843
273,1X44,11211
274,2LMS,18135
275,2JRM,15339
276,2RSX,11507
277,2LVC,18563
278,2MKS,19792
279,2M2L,18920
280,2MVU,25284
281,2K0X,15658
282,2DMU,10296
283,2RRL,11423
284,2LW1,17989
285,2KDX,16126
286,4BF8,17713
287,2KID,16270
288,2RTX,11534
289,2ECJ,11341
290,1X3D,11288
291,2KZ4,16997
292,2EQI,11224
293,5JZR,30094
294,1WIE,11180
295,2MXU,25429
296,2RV8,11590
297,2KK4,16352
298,5KS5,30135
299,2MZV,19689
300,2L2L,17138
301,2RRF,11251
302,2DAE,11269
303,2N8Q,18567
304,2MRL,25083
305,2M5W,18621
306,2LNZ,18186
307,2L2N,17143
308,2MZS,25498
309,2LOE,18210
310,2MEX,18276
311,2MZN,25492
312,2YSE,10214
313,2MZC,25483
314,2LQI,18315
315,2KBM,16050
316,2DJN,10290
317,2M9G,19293
318,2EEE,10164
319,1X45,11210
320,1WYN,11084
321,2MC2,19425
322,2CSS,11182
323,5KK3,30121
324,2MV2,25240
325,2MMG,19854
326,2KMT,16135
327,5JTN,30082
328,2KZV,17020
329,2LP3,18231
330,1WYQ,11126
331,2MJZ,19747
332,2L6U,17323
333,2KSV,16675
334,1WYP,11124
335,2ROT,11043
336,2MDT,17298
337,2L09,17035
338,2KYQ,16978
339,2LVS,18589
340,2M3C,18953
341,2MME,18651
342,2N17,18896
343,2M4J,19009
344,2MT9,25153
345,2LC0,17585
346,2RUR,11588
347,2MX8,25397
348,2KQN,16607
349,2MTE,25158
350,2LMP,18129
351,2KXI,16737
352,2MXU,25429
353,2DJT,10259
354,2DMX,11417
355,2MC4,19427
356,2N6L,25768
357,2D87,11142
358,2MPO,15961
359,2MUK,25217
360,2M4H,19003
361,2MME,18651
362,2L1P,17092
363,2LJ4,17918
364,2KD2,16103
365,2MQ0,25007
366,2M7N,19197
367,1WHN,10125
368,2JOQ,15190
369,2D89,11145
370,2KLC,16390
371,2JRS,15343
372,2KAY,16034
373,2CUM,11110
374,2DLU,11189
375,2RSF,11472
376,2MSW,25137
377,2LHJ,17855
378,2LF3,17737
379,2KX0,16895
380,2JRT,15344
381,2LHC,17839
382,2M9A,19288
383,2MME,18651
384,2LEK,16377
385,2KPM,16560
386,2JPE,15242
387,2DA5,10287
388,2KCD,16072
389,2LP3,18231
390,2LMN,18127
391,5JN6,30070
392,2L3T,17202
393,2LF2,17736
394,1WYL,11085
395,2LM1,18095
396,2LT1,18194
397,2MPZ,25004
398,2N7H,25334
399,2LKP,18003
400,2JOX,15208
401,2NA4,25927
402,2JR2,15317
403,2DAH,11271
404,2DL7,11220
405,2LDK,17670
406,2DS4,10327
407,2KFV,16189
408,2M6X,19162
409,2N5L,25720
410,2M1L,18869
411,2K7I,15916
412,2DAT,11329
413,2DLG,10324
414,2K6Z,15896
415,5KK3,30121
416,2YS3,11087
417,2RMN,11012
418,2KX2,16897
419,2RT6,11525
420,2N23,25584
421,2LUI,18522
422,2KOB,16498
423,2LXJ,18679
424,2MV7,19516
425,2M5S,18566
426,2L5V,17286
427,2L7R,17371
428,2L02,17026
429,2KWP,16868
430,2K4N,15805
431,2LHS,17160
432,2YS5,11094
433,5KK3,30121
434,2LSO,18438
435,2D9W,10279
436,2EFI,11092
437,2JRZ,15348
438,2LJA,17927
439,2N1F,26550
440,2L9D,17448
441,2MJZ,19747
442,2LMP,18129
443,2MVG,25266
444,2RSG,11473
445,2N4I,17833
446,2JPQ,15258
447,2MMC,19852
448,2L9W,17490
449,2DMP,10292
450,2MRI,19221
451,2RUG,11563
452,2M9G,19293
453,2LTA,18465
454,2KOJ,16515
455,2JQO,15288
456,2KPU,16570
457,5KK3,30121
458,2MJZ,19747
459,2KT7,16686
460,2D8U,11327
461,2DN6,10319
462,2M4K,16912
463,2KG9,16199
464,2M9U,19299
465,2ME4,19515
466,2DA1,10283
467,2MDA,19482
468,5JTN,30082
469,2JSS,15393
470,2K45,15785
471,2MKX,19799
472,2N1F,26550
473,2KC0,16058
474,2K0Q,15655
475,2MKZ,19801
476,2LS6,17694
477,2YUN,11156
478,2M3O,18971
479,2LHD,17840
480,2N74,25793
481,2MPZ,25004
482,2DL5,11222
483,2LMN,18127
484,2N2U,25612
485,2LYV,18728
486,2KPQ,16564
487,2DIA,10335
488,2L3A,17175
489,2MAM,17607
490,2N46,17610
491,2JRB,15325
492,2KZX,17022
493,2M7K,19193
494,2MJZ,19747
495,2KDM,16117
496,2DZK,11281
497,2L4B,17235
498,2DM8,11191
499,2JTM,15415
500,2RMO,11026
501,2M05,18794
502,2EE7,10147
503,2MPZ,25004
504,2MYI,19558
505,2M03,18792
506,2DJU,10260
507,1WEN,11354
508,2M9P,19305
509,2MME,18651
510,2LY6,18710
511,2EEL,11218
512,2L50,17261
513,2DHK,10316
514,2M4J,19009
515,2N5A,25702
516,2MVF,25265
517,2LGJ,17811
518,1X6G,10245
519,2M1A,18852
520,2MUN,25223
521,2K2C,15700
522,2LYH,18725
523,2MNG,19891
524,2DI9,10320
525,2YUS,11123
526,2KIJ,16277
527,2M6X,19162
528,2N1L,25565
529,2JVE,15477
530,2LMO,18128
531,2N9B,25899
532,2MRC,25068
533,2LPK,18263
534,2YUO,10194
535,2M9Q,19306
536,2KQK,16603
537,2KQ3,16585
538,2N5J,25718
539,2RRH,11419
540,1X3H,11289
541,2JN3,15084
542,2MR6,25062
543,2JQ5,15270
544,2MJG,18939
545,2MJF,19626
546,2K7I,15916
547,2KY4,16934
548,2DIN,11301
549,1WI7,11179
550,2LF1,17311
551,2LZ4,18648
552,2JR2,15317
553,2MME,18651
554,1WGU,10235
555,2M02,17937
556,2L01,17025
557,2MLK,18200
558,2N9U,25918
559,2LO0,18187
560,2MHC,19625
561,2KV3,16767
562,5J17,30047
563,2KEL,16153
564,2YS0,11150
565,2MI5,19666
566,2MRM,25085
567,1X6D,10242
568,2DHY,11276
569,2JXP,15568
570,2ED8,11103
571,2MX0,25380
572,2MR3,19219
573,2KB1,15677
574,2KSD,16947
575,2KW2,16805
576,2K7A,16809
577,2MQF,25031
578,2DHJ,10315
579,2MNW,19910
580,2KG6,16196
581,2MPZ,25004
582,2KJ8,16315
583,2OT2,15152
584,2N6P,25776
585,1WF8,11202
586,2N1F,26550
587,2JT1,15386
588,2LAE,17521
589,2EEF,10165
590,2K50,15819
591,2N1F,26550
592,2LVL,17534
593,2KHS,15357
594,2L0W,17066
595,2KNG,16831
596,2MII,19681
597,2KAY,16034
598,1J3T,10122
599,2LU1,18504
600,2LRH,18372
601,2M0K,17771
602,2LUZ,18547
603,2KBN,16051
604,2M8R,19266
605,5KK3,30121
606,2DA4,10286
607,2MJZ,19747
608,5I8N,30017
609,2LQP,18323
610,2LQ4,17993
611,5IJ4,30030
612,5JTQ,30085
613,2M6X,19162
614,2M4J,19009
615,2MME,18651
616,2MPZ,25004
617,2MYP,17074
618,2LGZ,16701
619,2L01,17025
620,2LOY,16833
621,2L7K,17359
622,2CTE,11139
623,2LMO,18128
624,2MJZ,19747
625,2MXE,25405
626,2LSH,17596
627,2KTL,16832
628,1WX7,11261
629,2KEN,16154
630,2KHU,16882
631,2M0B,18804
632,2MJG,18939
633,2M59,19041
634,2MJZ,19747
635,2M4J,19009
636,2M6X,19162
637,2K8Y,15981
638,2LMP,18129
639,2LC7,17600
640,2M46,18987
641,2LJ5,17919
642,2KWF,16851
643,2JU5,15431
644,2MYX,25461
645,5JZR,30094
646,2MJZ,19747
647,2L3B,17176
648,2LMV,17354
649,2RTS,11530
650,2MTL,25165
651,2LMP,18129
652,2LAB,17519
653,2KLU,16853
654,2JPO,15256
655,2N5S,25729
656,2N7A,25798
657,5JTM,30081
658,2LMQ,18131
659,2LNB,18158
660,2MJZ,19747
661,2M2J,18917
662,2YT1,10239
663,2M0B,18804
664,2LJQ,17955
665,2ECG,11339
666,1X4K,11349
667,2LR2,18126
668,2N7H,25334
669,2DBM,10302
670,2MPZ,25004
671,2N7I,25806
672,2MPZ,25004
673,2KKO,16368
674,2D9X,10280
675,2KK1,16349
676,2E9I,10142
677,1X3C,11287
678,2LTU,18497
679,2KC5,16061
680,2MRD,25069
681,2JWE,16871
682,2MBX,18113
683,2LMQ,18131
684,2LAV,16715
685,2LUC,18425
686,2KEC,16142
687,2MCZ,19459
688,2D8R,11324
689,2M5R,17886
690,2JQ6,15279
691,2JZI,15624
692,2LMP,18129
693,2MJZ,19747
694,2JWU,15537
695,2ECZ,11154
696,2CT7,11321
697,2ML3,16956
698,2MXU,25429
699,2JVA,15471
700,2LC1,17586
701,2KMG,16428
702,2LMQ,18131
703,2MRD,25069
704,2MPL,19988
705,2JVD,15476
706,2N1F,26550
707,2MRA,25067
708,2KUL,16738
709,2LVJ,18572
710,1X3B,11311
711,2KW6,16808
712,2JOA,15154
713,5SYQ,30154
714,2LS5,18411
715,2YTO,11171
716,2LMQ,18131
717,2KNR,16476
718,2E7B,11230
719,2KO8,16492
720,2LZF,18753
721,2LC5,15663
722,2MOT,17278
723,2KZN,17008
724,2CUF,10282
725,2KBZ,16057
726,2LZ3,18649
727,2CU8,11293
728,2M9W,19312
729,2MJZ,19747
730,1WX9,11263
731,2ECM,11343
732,2M6M,19146
733,2CTJ,11135
734,2RS2,11450
735,2ELK,10150
736,2N47,16806
737,2MT5,25149
738,2RUQ,11587
739,2LAN,16862
740,2RUX,11477
741,2LMO,18128
742,2MJ4,19704
743,2LJU,17962
744,2DLP,11233
745,2EKH,10272
746,1WXA,11264
747,2JZA,15611
748,2L05,17030
749,5KK3,30121
750,2MF3,19535
751,1WYO,11086
752,2KA1,16012
753,2KNA,16478
754,2JUH,15444
755,2YSL,11234
756,2ELJ,11345
757,2MW5,25299
758,2NBH,25976
759,2KKL,16364
760,2L8S,17424
761,2KT1,16681
762,2DI0,11278
763,2LUW,18338
764,2LFV,17783
765,2MXN,19736
766,2JMU,15063
767,5JTL,30080
768,5JTQ,30085
769,2N1B,25554
770,2LSW,18449
771,1UM7,11198
772,2M4F,19001
773,2MJZ,19747
774,2LQ9,18299
775,5JTN,30082
776,2KFP,16186
777,2M4J,19009
778,2N19,25552
779,2KCA,16068
780,1X5N,11204
781,2DAZ,11187
782,2MEZ,19028
783,2KQ9,16594
784,2LPF,18256
785,2LNU,18180
786,2V9H,15247
787,2RSO,11497
788,2LRT,18394
789,2MLH,19343
790,2M1M,18870
791,4BYA,19376
792,2NBW,25825
793,2LWF,18624
794,2RST,6226
795,2MPX,25005
796,5JTO,30083
797,5KK3,30121
798,2MN6,19714
799,2RSQ,11502
800,2MVN,25276
801,2MPZ,25004
802,2LHE,17841
803,2KZ3,16996
804,2LNI,18166
805,2LLW,18091
806,2K62,15854
807,2LFW,17784
808,2MJZ,19747
809,2KPT,16569
810,2DKM,10262
811,2MB7,19391
812,2CU7,11322
813,2RO5,11034
814,2MWG,17643
815,2MHJ,19635
816,2LLL,18053
817,2LW6,18607
818,2M1C,18856
819,2N13,25545
820,1V5P,10131
821,2CSW,11247
822,2KUN,16743
823,4CIO,18846
824,2KT5,16683
825,2LMO,18128
826,2M4N,19014
827,2MW7,25302
828,2MGP,19233
829,2L4A,17234
830,2K79,15912
831,1X5J,11118
832,2RU6,11547
833,2DLT,11192
834,2LQB,18301
835,2LDI,17668
836,2LMT,17353
837,2LMO,18128
838,5KK3,30121
839,2JOP,15189
840,2LY8,18713
841,2LBV,17577
842,2RUT,11474
843,2MD0,19460
844,2K2J,15707
845,2L4V,17258
846,5L3N,34002
847,1X4Z,11127
848,2JYA,15585
849,2JQ3,15268
850,2MEX,18276
851,2JWN,15528
852,2N1F,26550
853,2ML2,17249
854,2N7D,25801
855,2DAG,11173
856,5J2R,30050
857,2KE7,16137
858,2LT3,15977
859,2EEA,10160
860,2K01,15633
861,2MH2,19613
862,2KDO,16119
863,2K9Q,15999
864,2LLX,18092
865,1X5R,11206
866,2MET,19531
867,2LG1,16195
868,2JRF,15329
869,1UJV,10124
870,2NCO,26723
871,2KC7,16064
872,2N93,25400
873,1Y4O,6396
874,2KUM,16839
875,2LOX,18229
876,2LPI,18261
877,2KII,16276
878,2M4J,19009
879,2L5L,17275
880,2MME,18651
881,2KIW,16298
882,2N78,26649
883,2MKY,19800
884,2MW4,25298
885,2LFH,17753
886,2EE3,10271
887,1V95,11255
888,2MME,18651
889,2LCH,17612
890,2K8I,15950
891,2LGH,17809
892,2YQL,11347
893,2E6J,11091
894,5JTL,30080
895,2N4O,17978
896,2KG8,16197
897,2M5V,18242
898,2YRL,11231
899,2DZL,11282
900,2KKZ,16376
901,2KK8,16355
902,2LLN,18081
903,2JQ4,15269
904,2N9B,25899
905,2M6K,19143
906,2EBM,11338
907,5K57,30097
908,2L4H,17329
909,2MUU,19077
910,2KD1,16102
911,2MJZ,19747
912,2DA2,10284
913,2D7M,10328
914,2KA1,16012
915,2LBA,17551
916,2M72,19169
917,2M6Y,19163
918,2LTK,18485
919,2N7H,25334
920,2P0P,7381
921,2N9I,25907
922,2MME,18651
923,2KI3,16260
924,2LMP,18129
925,1X1F,10250
926,2N2E,25194
927,2MJZ,19747
928,2N1F,26550
929,2KYR,16979
930,2LMP,18129
931,2MMY,19320
932,2EDZ,10267
933,2KIV,16297
934,5KK3,30121
935,2MIQ,19682
936,2DK4,11355
937,2ML8,16085
938,2COD,10255
939,2MK3,19750
940,2LRL,18379
941,2EHR,11197
942,5T3Y,30161
943,5JTR,30086
944,2YSP,11369
945,2LUC,18425
946,2CSI,11185
947,2MJZ,19747
948,2LMP,18129
949,2L1D,17081
950,1V5N,10108
951,1V6E,11254
952,2MXU,25429
953,1X5D,11116
954,2L52,17263
955,2LMQ,18131
956,2LMQ,18131
957,2EE1,10269
958,2K75,15902
959,2LAI,17525
960,2KCX,16099
961,1WF5,10129
962,2N1I,25562
963,2MPZ,25004
964,2KIF,16272
965,2KW6,16808
966,2MME,18651
967,2KP5,15743
968,2MXU,25429
969,2RUE,11561
970,2LO0,18187
971,2LMQ,18131
972,2LMQ,18131
973,2NBV,25995
974,2MWC,25308
975,2KEL,16153
976,2KM6,16263
977,2L9U,17488
978,2MG4,19585
979,2LME,18108
980,2CTO,11132
981,2MJZ,19747
982,2JUZ,15462
983,2KOY,16536
984,1WZ0,11267
985,2MBF,19398
986,2RUW,11476
987,2LXS,18694
988,2CTF,11140
989,5JTM,30081
990,2EE9,10159
991,2N9Y,25920
992,1WWY,10336
993,2K1G,15603
994,2LUA,18514
995,2LMQ,18131
996,2EQR,11244
997,2JTE,15407
998,2MD7,19472
999,1WGK,11258
1000,1YQA,6476
1001,2M7M,19196
1002,1X5H,11120
1003,2MSY,25142
1004,2JQG,15278
1005,2L5Q,17280
1006,2LOQ,18221
1007,2KO8,16492
1008,2LRJ,18375
1009,1VA8,11200
1010,2JR0,15312
1011,2MN6,19714
1012,2MYV,25459
1013,2D8J,11214
1014,2L48,17233
1015,2MFJ,19552
1016,2LMO,18128
1017,2RV5,11485
1018,2MPH,19551
1019,2KJG,16320
1020,1V86,10112
1021,2KCK,16083
1022,2JZ2,15604
1023,2MEU,19532
1024,2E9H,11146
1025,2KV7,16770
1026,2MXU,25429
1027,2MBY,19416
1028,2LK2,17971
1029,2ED7,11096
1030,2EOL,11166
1031,2EDD,11097
1032,2MPZ,25004
1033,2MPZ,25004
1034,2LWD,18622
1035,2L3M,17196
1036,2YRY,11089
1037,2MGX,19607
1038,2LU7,18511
1039,1X4X,11125
1040,2LMO,18128
1041,2M8C,19242
1042,2MA4,19327
1043,2MJZ,19747
1044,2MJZ,19747
1045,2LVV,18011
1046,2K9Q,15999
1047,2N51,25690
1048,2CSZ,11314
1049,2ZAJ,10215
1050,2MES,19238
1051,2L0Y,17067
1052,2MHF,19621
1053,2JOE,15167
1054,2MN2,19876
1055,2LKM,18000
1056,2ECT,11162
1057,2LV5,18555
1058,2K1S,15683
1059,2ECL,11342
1060,2DA3,10285
1061,2L3A,17175
1062,2MME,18651
1063,2JUO,15451
1064,2KVA,16772
1065,2LO3,18192
1066,2K1E,15677
1067,2N5X,25740
1068,2M48,18990
1069,2MJZ,19747
1070,2LY9,18714
1071,2MPZ,25004
1072,2MVM,25275
1073,2M3W,17857
1074,2MXU,25429
1075,2KEO,16155
1076,2YSQ,11228
1077,2LXW,18700
1078,2D9T,10276
1079,2LS0,18404
1080,5KK3,30121
1081,2MJZ,19747
1082,2LCQ,17595
1083,2LMO,18128
1084,2LQH,18314
1085,2EPS,11380
1086,1WF7,11199
1087,5JTL,30080
1088,2L91,17433
1089,5GAJ,30000
1090,2DB5,11188
1091,3ZQD,17701
1092,2E7M,11232
1093,2LML,16860
1094,2YS9,10298
1095,2M4G,19002
1096,2KBM,16050
1097,2LKS,18010
1098,2M36,18946
1099,2LMN,18127
1100,1WGN,11260
1101,2DT7,11365
1102,2DIZ,11107
1103,2LPV,18278
1104,2K1H,15678
1105,2JVW,15491
1106,2LMP,18129
1107,2KMU,16544
1108,2MF2,17288
1109,2D9V,10278
1110,2L0C,17038
1111,2K3J,15763
1112,2LRL,18379
1113,1V6G,11305
1114,2MJ3,19703
1115,2KQM,16606
1116,2N6F,25762
1117,2D9Z,10312
1118,2LZN,17512
1119,2KO1,16486
1120,2K04,15636
1121,2JUZ,15462
1122,2KHC,16236
1123,2YUE,11351
1124,2KUD,16732
1125,2LM4,18098
1126,2MH8,19623
1127,2MH3,19614
1128,2MME,18651
1129,2KEN,16051
1130,2MLW,19834
1131,1UFF,10136
1132,2DMF,11303
1133,2LMO,18128
1134,2MOK,19945
1135,2K0Y,15659
1136,2MPZ,25004
1137,2JU3,15429
1138,2JNS,15125
1139,2MF2,17288
1140,2KHT,16254
1141,2LSS,18442
1142,2LL8,18032
1143,2LO2,18191
1144,2LTS,17703
1145,2KHS,15357
1146,2RT9,11529
1147,2DJ0,11105
1148,2JWE,16871
1149,2JOV,15203
1150,2CTM,11137
1151,2MSG,25123
1152,2L8X,17430
1153,2L50,17261
1154,2KOH,16507
1155,2MIO,19684
1156,2MJL,19731
1157,2M2D,18908
1158,2MJZ,19747
1159,2DJ2,11104
1160,2YSO,11368
1161,2MPZ,25004
1162,2JWS,15535
1163,2N32,25175
1164,2D7O,10330
1165,1X5G,11121
1166,2ECY,11164
1167,2KR7,16629
1168,2D8Q,11323
1169,2LMP,18129
1170,2D90,11216
1171,2N7H,25334
1172,2EPR,11379
1173,1WJW,11310
1174,2N9J,25908
1175,2JPI,15246
1176,2D92,11186
1177,2MD8,19473
1178,2KB2,16037
1179,2LBB,17553
1180,2YSZ,10237
1181,2NBD,25972
1182,2DMT,10295
1183,2DAX,11295
1184,5JTP,30084
1185,5J18,30048
1186,2JS0,15349
1187,2MA2,19319
1188,2LAP,17532
1189,2KJ4,16311
1190,2MK2,19749
1191,2MME,18651
1192,2LF0,17735
1193,2LY4,18709
1194,2DZM,11283
1195,2RSU,11505
1196,2MCQ,19449
1197,2EGE,11196
1198,1X05,10249
1199,2D9Y,10311
1200,2DJ3,11109
1201,5JTL,30080
1202,2M1B,17014
1203,2MDG,19486
1204,2LMN,18127
1205,2N01,25512
1206,2MJ7,19709
1207,2MET,19531
1208,2KJW,16345
1209,5KK3,30121
1210,2CT4,11318
1211,5KK3,30121
1212,2N4B,17611
1213,2LOK,18215
1214,2RV7,11487
1215,1X5I,11112
1216,2YRP,11148
1217,2E9G,10141
1218,2L4O,17246
1219,2M6X,19162
1220,2MVV,25287
1221,2MJZ,19747
1222,2MJ6,19707
1223,2MME,18651
1224,2RV6,11488
1225,2YR3,11236
1226,2CT2,11317
1227,2CO9,10252
1228,2M87,19231
1229,2LXK,18680
1230,2MX1,25381
1231,2CUE,10281
1232,2KG4,15855
1233,2KK7,16354
1234,2K5V,15849
1235,2LJW,17965
1236,2MPZ,25004
1237,2MZC,25483
1238,2KK6,16353
1239,2M5J,18201
1240,2EDE,11098
1241,1X69,10240
1242,2LRO,18388
1243,2LUY,18546
1244,2EEB,10161
1245,2LMN,18127
1246,2MY3,25443
1247,2M8J,19259
1248,2LZL,18763
1249,2N6A,25757
1250,2K1E,15677
1251,2LV9,18559
1252,2LXU,18698
1253,2N1F,26550
1254,2YS1,11088
1255,2DIY,11108
1256,2MPZ,25004
1257,2K6O,15876
1258,2MNJ,19688
1259,2LBG,17558
1260,2LC9,17603
1261,2YUM,10193
1262,2M0J,17771
1263,5KK3,30121
1264,2LL4,17667
1265,2RSM,11491
1266,2L6K,17314
1267,2L4N,17245
1268,2L95,16719
1269,5KK3,30121
1270,2L8K,16977
1271,2RUZ,11479
1272,2L51,17262
1273,2MME,18651
1274,2LM5,18099
1275,2DIL,11299
1276,2MNA,19095
1277,2LRU,18398
1278,2DBA,11122
1279,2DA6,10288
1280,2DMM,11102
1281,2N6R,25778
1282,1UH6,11245
1283,2M6R,19151
1284,2E63,11348
1285,2LVH,18570
1286,2K5P,15844
1287,2M64,19107
1288,2LNC,17523
1289,2CTK,11136
1290,2KRF,16636
1291,2MTD,25157
1292,2KXY,16927
1293,2LS8,18415
1294,2LJK,16413
1295,2JXW,15575
1296,1WZ6,10248
1297,2KW7,16810
1298,2K61,15852
1299,2LRA,18355
1300,2DOC,11304
1301,2MTB,25155
1302,2LJ8,17374
1303,2M4J,19009
1304,2LXE,18672
1305,2LMP,18129
1306,2JRP,15338
1307,2L7W,17382
1308,2LMC,18111
1309,2LFO,17767
1310,2N64,25750
1311,2MMX,19870
1312,5JTM,30081
1313,2CTL,11138
1314,4AKA,17405
1315,5HUZ,30005
1316,2M89,19235
1317,1X4S,11363
1318,5JTR,30086
1319,2RNE,11376
1320,2LAH,17524
1321,2MXU,25429
1322,2MJN,19735
1323,2KUH,16764
1324,2LMQ,18131
1325,2K4D,15796
1326,2LVN,18581
1327,2MJZ,19747
1328,2LD7,17653
1329,2M00,18788
1330,1V87,11306
1331,2JVV,15490
1332,2N5D,25706
1333,2E7K,11226
1334,2KU3,16721
1335,2DMN,10291
1336,1X43,11209
1337,2LNX,18183
1338,2RUD,11560
1339,2K7B,15197
1340,2MME,18651
1341,2M35,18945
1342,2MN7,19881
1343,2N74,25793
1344,2N1K,25564
1345,2MJZ,19747
1346,2ECI,11340
1347,2MTQ,25177
1348,2M85,19229
1349,2RQ1,11065
1350,2KHK,16247
1351,2DMB,10325
1352,2E6Q,11221
